indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2017-10,Aérea,Paraguay,5557.3
2017-10,Aérea,Uruguay,7117.3
2017-10,Aérea,EE.UU. y Canadá,86289.8
2017-10,Aérea,Resto de América,66885.1
2017-10,Aérea,Europa,83712.2
2017-10,Aérea,Resto del mundo,20172.3
2017-10,Terrestre,Bolivia,33312.7
2017-10,Terrestre,Brasil,62645.4
2017-10,Terrestre,Chile,145569.2
2017-10,Terrestre,Paraguay,96631.9
2017-10,Terrestre,Uruguay,52835.2
2017-10,Terrestre,EE.UU. y Canadá,65.9
2017-10,Terrestre,Resto de América,865.9
2017-10,Terrestre,Europa,122.9
2017-10,Terrestre,Resto del mundo,55.3
2017-10,Fluvial/Marítima,Bolivia,11192
2017-10,Fluvial/Marítima,Brasil,5575.3
2017-10,Fluvial/Marítima,Chile,42.6
2017-10,Fluvial/Marítima,Paraguay,12820.7
2017-10,Fluvial/Marítima,Uruguay,49164.9
2017-10,Fluvial/Marítima,EE.UU. y Canadá,291.6
2017-10,Fluvial/Marítima,Resto de América,1491.3
2017-10,Fluvial/Marítima,Europa,311.7
2017-10,Fluvial/Marítima,Resto del mundo,69.5
2017-11,Aérea,Bolivia,3260.2
2017-11,Aérea,Brasil,77079
2017-11,Aérea,Chile,49449.8
